Model,Fold,MAE,RMSE,R2,Training Time (s),Inference Time (s)
Ridge Regression,1,0.004457,0.00702,0.999999,0.019524,0.00198
Ridge Regression,2,0.009156,0.012791,0.999999,0.006264,0.0019
Ridge Regression,3,0.007583,0.0101,0.999999,0.005737,0.00181
Ridge Regression,4,0.005784,0.007407,0.999999,0.005477,0.001797
Ridge Regression,5,0.006442,0.008442,1.0,0.006064,0.001802
Histogram Gradient Boosting,1,0.879545,1.533314,0.974312,2.647383,0.042081
Histogram Gradient Boosting,2,2.111749,4.806112,0.798408,2.73189,0.045994
Histogram Gradient Boosting,3,1.401918,2.675069,0.944374,2.975348,0.040723
Histogram Gradient Boosting,4,1.633132,2.664127,0.933938,2.570851,0.041243
Histogram Gradient Boosting,5,1.407119,2.751859,0.948169,2.516497,0.041062
Ridge PCA,1,4.527858,5.369053,0.685034,0.002315,0.001058
Ridge PCA,2,5.944937,6.857071,0.589643,0.001901,0.000959
Ridge PCA,3,5.190444,6.004093,0.719775,0.001906,0.000939
Ridge PCA,4,4.185288,5.017349,0.765689,0.002035,0.000989
Ridge PCA,5,5.212689,6.598091,0.702032,0.001937,0.000951
Quantum Neural Network,1,8.237843,9.566259,0.000111,6068.795968,7.441266
Quantum Neural Network,2,9.378391,10.913845,-0.039539,6137.737278,8.443813
Quantum Neural Network,3,10.519798,12.720043,-0.257734,6098.287824,7.547204
Quantum Neural Network,4,8.843867,10.454855,-0.017373,6105.094417,7.953054
Quantum Neural Network,5,10.959345,13.217879,-0.195795,6132.975512,7.652797
